restaurant name,cuisine
Aura Always Veg,Indian
Aura Always Veg,Chinese
Aura Always Veg,Fast Food
Green Channel,Chinese
Green Channel,Asian
Green Channel,
Gossip The Cafe Bar,Cafe
Gossip The Cafe Bar,Pizza
Gossip The Cafe Bar,Vegetarian Friendly
The Boston Butt,American
The Boston Butt,Gastropub
Lotus Leaf,Cafe
Lotus Leaf,Chinese
Lotus Leaf,Asian
Andheri West,Italian
Andheri West,Chinese
Andheri West,Indian
Timess Square,Indian
Timess Square,Vegetarian Friendly
Timess Square,
Picasso,Chinese
Picasso,Indian
Picasso,Soups
Hungry Jd's,Fast Food
Hungry Jd's,
Hungry Jd's,
Pizza Express,Italian
Pizza Express,Pizza
Pizza Express,Vegetarian Friendly
Britannia & Company Restaurant,Indian
Britannia & Company Restaurant,Persian
Britannia & Company Restaurant,Vegetarian Friendly
Kala Ghoda Cafe,Cafe
Kala Ghoda Cafe,Deli
Kala Ghoda Cafe,Vegetarian Friendly
Chetana,Indian
Chetana,Asian
Chetana,Vegetarian Friendly
Punjab Grill,Indian
Punjab Grill,Vegetarian Friendly
Punjab Grill,Vegan Options
The Pantry Cafe,Cafe
The Pantry Cafe,European
The Pantry Cafe,Vegetarian Friendly
Mamagoto,Chinese
Mamagoto,Asian
Mamagoto,Thai
Fountain Inn,Indian
Fountain Inn,Chinese
Fountain Inn,Seafood
Tasse de The,International
Tasse de The,Asian
Tasse de The,Vegetarian Friendly
The Clearing House,European
The Clearing House,Vegetarian Friendly
The Clearing House,Vegan Options
Pizza express,Italian
Pizza express,Pizza
Pizza express,Vegetarian Friendly
Hotel Fountain Plaza Restaurant,Indian
Hotel Fountain Plaza Restaurant,Asian
Hotel Fountain Plaza Restaurant,Vegetarian Friendly
olympia,Indian
olympia,Halal
olympia,Vegetarian Friendly
House of Tipsy,Italian
House of Tipsy,Indian
House of Tipsy,Mediterranean
Copper Chimney,Indian
Copper Chimney,Vegetarian Friendly
Copper Chimney,Vegan Options
Pandora's Box,Pizza
Pandora's Box,Fast Food
Pandora's Box,Vegetarian Friendly
Pratap Lunch Home,Indian
Pratap Lunch Home,Seafood
Pratap Lunch Home,Asian
Mocambo Cafe,European
Mocambo Cafe,Asian
Mocambo Cafe,
The Irish House Kala Ghoda,Irish
The Irish House Kala Ghoda,International
The Irish House Kala Ghoda,
Ling's Pavilion,Chinese
Ling's Pavilion,Asian
Ling's Pavilion,Vegetarian Friendly
Rue Du Liban,Lebanese
Rue Du Liban,Mediterranean
Rue Du Liban,Middle Eastern
Mamagoto,Chinese
Mamagoto,Asian
Mamagoto,Thai
McDonalds Family Restaurant,Quick Bites
McDonalds Family Restaurant,Fast Food
McDonalds Family Restaurant,American
Ideal Corner,Indian
Ideal Corner,Vegetarian Friendly
Ideal Corner,
Poetry by Love and Cheesecake,Dessert
Poetry by Love and Cheesecake,Cafe
Poetry by Love and Cheesecake,American
Effingut,
Effingut,
Effingut,
Millennials Eatery & Bar,British
Millennials Eatery & Bar,Vegetarian Friendly
Millennials Eatery & Bar,
Baskin-Robbins,Dessert
Baskin-Robbins,
Baskin-Robbins,
AKA Bistro,Cafe
AKA Bistro,Vegetarian Friendly
AKA Bistro,Vegan Options
Plenty,American
Plenty,Cafe
Plenty,Asian
Bademiya Restaurant,Indian
Bademiya Restaurant,Asian
Bademiya Restaurant,Halal
Fountain Sizzlers,Barbecue
Fountain Sizzlers,Vegetarian Friendly
Fountain Sizzlers,
Fountain Sizzlers,Vegetarian Friendly
Fountain Sizzlers,
Fountain Sizzlers,
5 Spice,Chinese
5 Spice,Asian
5 Spice,Vegetarian Friendly
Harish Lunch Home,Indian
Harish Lunch Home,Seafood
Harish Lunch Home,Vegetarian Friendly
The Boston Butt Fort,Italian
The Boston Butt Fort,American
The Boston Butt Fort,European
Kandeel,Indian
